NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
spicy chicken bites (mcd),Snack,tidak tersedia / processed food / processed food,"Tak tersedia, biasanya digoreng setengah matang dan diberi saus pedas McD",270.08,14.0,17.0,35.0,18.0,0.0,0.0,600.0,0.0
spicy ramyeon (indomie),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, biasanya direbus sesuai petunjuk indomie spicy",349.9,6.0,11.0,0.0,58.0,3.0,4.0,1210.0,0.0
sponge crunch cheddar cheese,Snack,tidak tersedia / processed food / processed food,"Tak tersedia, snack siap makan",70.03,1.0,4.5,0.0,7.0,0.0,2.0,50.0,0.0
spring roll,Snack,4keciludang kukus atau rebus; 1/4 besar telur goreng; 3kecilrice paper; 1/2besar utuhtomat; 1 sdm mayones; 50gramwortel; 50gramkembang kol; 50gramselada daun hijau; 1/4 mangkok bihun (dimasak); 1 sdm roasted sesame dressing,"Siapkan bahan bahan isian, | Rendam beberapa detik rice paper dalam air hangat, | Bungkus semua bahan dalam rice paper, | Untuk dressing : Campur salad dressing toasted sesame (kewpie) dengan mayonais, | Spring roll siap disajikan,",331.76,10.17,12.7,88.0,43.24,5.1,9.34,567.0,684.0
spring roll ayam,Snack,"1sedangrice paper; 10gramdaging dada ayam (ayam pedaging, dipanggang, dimasak); 10gramwortel; 10grammentimun (dengan kulit); 15grambihun (dimasak); 8 ml roasted sesame dressing","Rebus bihun, tiriskan, | Potong sayur, | Celup rice paper 2 detik di air, | Siapkan dan gulung kertas nasi dengan bihun, ayam dan sayuran di dalamnya, Gunakan saus wijen sebagai saus,",119.07,4.11,3.09,8.0,16.86,0.8,1.66,149.0,83.0
squeezed orange less sugar,Snack,2 buah jeruk,"Peras jeruk, saring ampas, sajikan dingin",59.99,0.0,0.0,0.0,15.0,0.0,12.0,40.0,0.0
Srikaya,Snack,Tidak Tersedia,Tidak Tersedia,94.0,2.1,0.3,0.0,23.6,4.4,17.6,9.0,247.0
steak tempe,Meal,"1 mangkok, irisan cooked carrots; 2 sdm tomato catsup; 2 sdm salt; 1mangkokchayote (fruit); 4 siung garlic; 1 mangkok, dicincang onions; 30 ml bottled water; 1 sdm saus sambal; 100 g saus tiram; 3 g lada putih bubuk; 10 g tepung maizena; 100gramtempeh (cooked)","Potong tempe, lalu kukus hingga matang, | Haluskan bawang putih hingga halus lalu tambahkan tempe kukus lalu haluskan, Tambahkan tepung terigu, garam dan merica, aduk hingga merata, lalu bentuk adonan bulat pipih, | Panaskan pan, tambahkan margarin dan minyak zaitun, lalu grill tempe sampai matang, jgn sering2 dibolak balik agar tdk hancur, masak jg pinggirannya, | Saus: lelehkan margarin, lalu tumis bawang bombay sampai layu kmudian masukkan bawang putih tumis sampai harum, lalu masukkan semua bahan saus dan lada, lalu tambahkan air, cek rasa, terakhir masukkan larutan maizena, aduk2 hingga mengental, sajikan,",134.79,6.21,3.96,0.0,29.52,2.4,6.57,4470.0,326.0
steakhouse burger (burger king),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, terdiri dari roti, patty, selada, saus, dan keju, siap saji",770.08,36.0,46.0,115.0,53.0,3.0,10.0,1380.0,0.0
steam fish,Meal,"2 sdm kecap asin (kedelai); 8 g jeruk nipis; 1 sdm cabai merah atau rawit; sejumput garam; 1 sdt minyak wijen; 1 sdm saus tiram; 1 siung bawang putih; 2 iris diameter 2,5 cm jahe; 30gramdaun bawang; 20gramsereh; 200gramikan bawal; 3 g lada putih bubuk","Bumbui ikan dengan garam, lada, dan jeruk nipis, diamkan 10 menit, | Letakkan ikan pada wadah tahan panas, Kukus bersama irisan jahe, bawang putih dan sereh selama 10 menit, Kemudian buang airnya ( ikan berair saat dikukus), | Siap kan saus, (5 sdm air matang, minyak wijen, kecap asin, saus tiram, lada, Jika kurang asin tambahkan sedikit garam), | Setelah 10 menit angkat ikan, masukkan saus, Kemudian kukus lagi selama 10 menit, | Tambahkan daun bawang dan cabai merah, Kukus lagi sebentar kemudian angkat,",309.93,38.45,8.18,123.0,21.32,2.7,2.5,3606.0,1119.0
steam tofu udang,Meal,125gramudang; 2 sedang telur; 2gramminyak wijen; 2 siung bawang putih; sejumput garam laut; 140 g egg tofu; 3 g kaldu jamur; 9 ml saus rasa tiram,"Tumis bawang putih cincang pakai minyak wijen, | Masukan udang hingga berubah warna, | Tambahkan air secukupnya untuk membuat sup, | Masukkan tofu hingga semua matang, | Masukan garam saus tiram kaldu jamur, | Masukan Kocokan telur aduk hingga berserabut, Tambahkan daun bawang (opsional),",28.63,3.3,1.47,39.18,0.76,0.0,0.04,215.67,180.0
stim ikan ala chinese,Meal,"120gramikan; 1/4 hot chili pepper; 1 siung bawang putih; 1/4 mangkok, dicincang daun bawang (loncang); 0,65 g stevia sweetener; 23 g saus tiram; 15 ml kecap asin","Masak saos ala chinese dengan cara pertama oseng bawang putih dan jahe, | Tambahkan air secukupnya, | Tambahkan kecap asin | Tambahkan saos tiram, | Tunggu hingga mendidih, | Jika ikan sudah masak siram dengan saos ala chinese, | Tunggu hingga mendidih, | Stim ikan senangin dengan daun bawang, cabai merah dan cabai hijau di atasnya,",134.07,23.49,1.27,70.0,8.14,1.0,1.19,1567.0,552.0
stir fried tofu and mushroom,Meal,100 g tahu; 50 g jamur,Tumis tahu dan jamur dengan sedikit minyak dan bumbu hingga matang,139.1,3.0,11.0,0.0,8.0,0.0,3.0,660.0,0.0
stir fry asparagus,Meal,120gramasparagus; 1 siung bawang putih; 2 ml minyak goreng tropical,"Rebus asparagus hingga agak lunak, | Tumis bawang putih dengan sedikit minyak, | Masukkan asparagus yang telah direbus, | Tumis asparagus dengan bawang putih dan tunggu hingga matang, | Hidangan siap disantap,",21.98,1.42,0.97,0.0,2.82,1.3,1.14,2.0,127.0
Stroberi,Snack,Tidak Tersedia,Tidak Tersedia,32.0,0.7,0.3,0.0,7.7,2.0,4.9,1.0,153.0
Sukun,Snack,Tidak Tersedia,Tidak Tersedia,103.0,1.1,0.2,0.0,27.1,4.9,11.0,2.0,490.0
sumpia udang pedas,Snack,50 g udang; 20 g kulit lumpia; cabai,Goreng lumpia yang telah diisi udang dan bumbu pedas hingga matang,99.9,2.0,4.5,0.0,12.0,0.0,3.0,115.0,0.0
sumpia udang pedas (superindo),Snack,tidak tersedia / processed food / processed food,"Tak tersedia, siap goreng",99.9,2.0,4.5,0.0,12.0,0.0,3.0,115.0,0.0
sundubu jigae,Meal,50 g tahu sutra; 200 ml kaldu; cabai,"Rebus kaldu, tambahkan tahu dan cabai, masak hingga mendidih",185.95,16.6,9.5,17.0,10.1,0.0,2.1,751.0,0.0
sundubu jigae ala indonesia,Meal,1 sedang telur; 1 daun bawang; 500gramair; 100gramtahu; 1porsisambal matah,"Masak air hingga mendidih | Masukkan tahu sekitar 5 potong | Masukkan garam, merica, dan bubuk bawang putih secukupnya, boleh ditambahkan bawang merah | Setelah dimasak sekitar 5 menit, masukkan telur | Masak sampai telur dan tahu matang | Terakhir beri daun bawang yang sudah diiris-iris",218.06,15.29,11.13,187.0,16.82,2.0,4.78,348.0,380.0
sup ayam,Meal,50 g ayam; 50 g sayur,"Rebus ayam dengan sayur hingga matang, tambahkan bumbu secukupnya",74.81,4.05,2.46,7.0,9.35,0.7,0.27,1106.0,55.0
sup ayam (dan) sayur (kalengan),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, biasanya siap saji dengan volume air kalengan",74.81,3.62,2.84,10.0,8.58,1.0,1.3,945.0,154.0
sup ayam ala thailand,Meal,50 g ayam; 1 batang serai; 1 sdm jeruk nipis,"Rebus ayam dengan serai dan perasan jeruk nipis, masak sebentar",34.89,1.0,1.5,0.0,4.0,1.0,2.0,930.0,0.0
sup ayam kental (kalengan),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, siap saji, biasanya dengan krim dan bumbu",170.41,12.14,6.34,29.0,16.51,1.4,2.09,850.0,168.0
sup baso ikan,Meal,7 1/2gramkaldu jamur; sejumput garam; 1gramminyak wijen; 2gramdaun bawang; 20gramsawi putih; 1gelasair; 117grambakso ikan; 20gramsawi hijau,"Siapkan bahan, masak air sampai mendidih, | Tambhan minyak wijen, kaldu dan garam, cicipi rasa, | Masukan baso, tekakhir masukan sayuran, siapkan wadah,",70.49,6.9,1.26,31.0,7.47,0.4,0.24,1371.0,170.0
sup bening,Meal,"300ml air; bawang putih; 50gr kentang, brokoli, dan wortel; sejumput garam",Didihkan air dengan bawang putih; masukkan sayuran dan garam; masak hingga matang; sajikan,25.0,1.0,0.5,0.0,4.0,1.0,1.0,180.0,180.0
sup daging sapi dengan kacang panjang,Meal,"100gramtomat; 100 gram kacang panjang hijau (dari segar); 3 siung bawang putih; 1 sdt jahe; 1 mangkok daun bawang; 100gramiga sapi (potongan kecil, diiris hingga 0,3 cm lemak); 250gramdaging sapi (95% tanpa lemak / 5% lemak); 4 sedang bawang merah","Cuci bersih daging sapi dan iga sapi, potong kecil-kecil daging dan masak dengan cara 5-30-7 (rebus 5 menit, matikan api, diamkan di atas kompor selama 30 menit, dan lanjutkan proses memasak dengan merebusnya selama 7 menit lagi), | Haluskan bawang merah, bawang putih dan jahe, | Iris kacang panjang, tomat dan daun bawang, | Tumis bumbu halus dengan minyak hingga harum, tambahkan air lalu daging sapi dan iga, Biarkan mendidih, | Setelah mendidih, masukkan kacang panjang dan tomat, bumbui dengan garam dan kaldu jamur secukupnya, | Jika sudah matang, matikan api dan masukkan daun bawang yang sudah dipotong-potong,",246.44,20.84,9.66,56.0,19.89,3.8,7.0,218.0,629.0
sup daging selada air,Meal,200gramdaging sapi; 20gramcabai merah atau rawit; sejumput garam; 15grambawang putih; 300gramselada air; 150gramjamur tiram; 2 g royco ayam; 3 g lada putih bubuk; 40grambawang bombay,"Rebus daging buang airnya, direbus kembali dengan bawang putih, bawang bombay dan cabe, bumbui dengan garam, merica, dan royco ayam, | Masukan jamur, tunggu beberapa saat, | Masukan selada air tunggu sampe selada air matang sebelum disajikan,",193.41,17.07,10.9,44.0,8.91,2.8,1.53,953.0,692.0
sup daging tahu,Meal,150gramdaging sapi; 1 sdt jinten; sejumput garam; 125gramwortel; 100gramjagung manis kuning; 3 siung bawang putih; 1 sdt jahe; 1 daun bawang; 700 ml air; 20grambawang merah; 2 sdm minyak goreng; 100gramtahu; 230 g royco kaldu rasa sapi; 3 g lada putih bubuk; 150gramkentang rebus; 60grambawang bombay,"Daging sapi sebelumnya sudah direbus terlebih dahulu, | Halus lada, jintan, jahe, bawang putih dan bawang merah, | Tumis bumbu halus, tambahkan bawang Bombay yang sudah di potong-potong, setelah itu tambahkan air biarkan sampai mendidih, | Tambah semua bahan, test rasa, | Masak sampai mendidih,",268.89,14.42,14.19,33.0,22.49,3.1,4.4,892.0,546.0
sup kacang,Meal,50 g kacang; 200 ml air,Rebus kacang hingga empuk,136.71,6.58,4.0,3.0,19.23,8.6,1.77,918.0,357.0
sup kentang,Meal,100 g kentang; 1 sdm bumbu,Rebus kentang hingga matang dengan bumbu,104.92,3.73,3.56,10.0,14.25,0.5,5.22,1020.0,227.0
sup kerang (kental),Meal,50 g kerang; 1 sdm bumbu,Rebus kerang hingga kuah mengental,163.48,8.83,5.83,17.0,19.01,2.0,5.47,1144.0,320.0
sup krim ayam,Meal,50 g ayam; 50 ml susu; 100 ml kaldu,"Masak ayam dan susu hingga kental, tambahkan kaldu secukupnya",59.99,1.0,1.5,0.0,10.0,1.0,3.0,650.0,0.0
sup krim daging sapi lada hitam,Meal,50 g daging sapi; 20 ml krim; 1/2 sdt lada hitam,Masak hingga kental dan bumbu meresap,59.99,1.0,1.0,0.0,10.0,0.0,4.0,600.0,0.0
sup krim jagung,Meal,50 g jagung; 50 ml susu,"Masak hingga kental, aduk rata",59.99,0.0,1.0,0.0,9.0,1.0,0.0,530.0,0.0
sup krim kepiting & jagung,Meal,50 g kepiting; 50 g jagung; 20 ml krim,Masak kepiting dan jagung dengan krim hingga kental,49.95,1.0,0.5,0.0,10.0,0.0,2.0,630.0,0.0
sup krim sayur & bawang,Meal,50 g sayur; 10 g bawang; 20 ml krim,"Masak hingga kuah kental, aduk hingga rata",59.99,1.0,1.0,0.0,10.0,0.0,4.0,540.0,0.0
sup kubis,Meal,50 g kubis; 200 ml air,Rebus kubis hingga matang,70.98,3.92,3.26,0.0,7.69,1.7,4.04,316.0,399.0
sup labu,Meal,200gr labu; 200ml kaldu ayam; 50ml susu rendah lemak; bawang putih; sejumput garam,"Potong labu hingga berbentuk bulan sabit seperti semangka potong, kulit dan biji jangan dulu dikupas, Kukus hingga setengah matang +/- 10 menit, Tujuan agar labu cukup empuk untuk diblender, | Keluarkan labu dari kukusan biarkan sebentar agar dingin, Lalu kupas kulit dan buang bijinya, Potong dadu dan blender (bisa ditambah air secukupnya), | Labu yang sudah diblender, lalu tuang ke panci, Lalu masak dengan api kecil-sedang, Perlahan tambahkan susu (kekentalan tergantung selera), Terus tambahkan 1 sdm tepung maizena untuk mengentalkan sup, Penyajian bisa dimakan selagi hangat atau dingin (simpan di kulkas dulu),",60.0,2.0,1.0,5.0,12.0,1.5,5.0,108.0,380.0
sup labu telur,Meal,2 sedang telur; sejumput garam; 2 siung bawang putih; 160gramlabu; 1gelasair; 5 ml minyak goreng; 40gramtahu; 15 g bihun jagung; 4 g bumbu penyedap rasa sapi,"Rebus bihun hingga matang, sisihkan, | Kupas dan bersihkan labu potong dadu, sisihkan, | Tumis bawang putih, masukkan telur dan aduk hingga matang, | Tambahkan air, masukkan lahu dan tahu,",166.14,8.24,7.74,186.0,14.08,0.8,2.04,1292.0,366.0
sup merah,Meal,50 g tomat; 50 g sayur,"Rebus semua bahan hingga matang, tambahkan bumbu secukupnya",239.96,18.0,8.0,60.0,24.0,4.0,16.0,1000.0,800.0
sup mi ayam sayur,Meal,50 g mi; 50 g ayam; 50 g sayur,"Rebus mi, ayam, dan sayur hingga matang, sajikan",119.98,3.5,4.0,0.0,18.0,1.0,3.0,230.0,0.0
sup mi daging sayur,Meal,50 g mi; 50 g daging; 50 g sayur,"Rebus mi, daging, dan sayur hingga matang, sajikan",130.02,3.5,4.5,20.0,18.0,1.0,3.0,245.0,0.0
sup mie daging sapi,Meal,50 g mi; 50 g daging sapi,"Rebus hingga matang, tambahkan bumbu secukupnya",82.93,4.83,3.07,5.0,8.98,0.7,2.59,954.0,100.0
sup mie instan,Meal,tidak tersedia / processed food / processed food,"Tak tersedia, direbus sesuai petunjuk instan",45.65,2.16,0.84,7.0,7.32,0.5,0.43,758.0,60.0
sup miso,Meal,50 g miso; 50 g tahu; 5 g rumput laut,"Rebus miso hingga larut, masukkan tahu dan rumput laut, aduk rata",83.89,6.02,3.36,0.0,7.78,1.9,2.59,998.0,367.0
sup nasi ayam,Meal,50 g nasi; 50 g ayam; 100 ml kaldu,Rebus nasi dan ayam bersama kaldu hingga matang,60.23,3.54,1.9,7.0,7.16,0.7,0.19,817.0,101.0
sup pedas dan asam,Meal,50 g cabai; 1 sdm asam; 50 g sayur,"Rebus cabai, asam, dan sayur hingga matang",163.48,15.1,7.91,34.0,4.95,0.2,1.59,1554.0,373.0
sup rempah/harira,Meal,kacang 40 g; daging 40 g; sayuran 50 g; rempah 10 g,Rebus semua bahan hingga sup matang dan beraroma rempah,110.18,3.83,3.89,5.0,15.14,2.1,0.94,143.0,157.0
sup sayur (kalengan),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, siap saji",72.42,2.1,1.93,0.0,11.98,0.5,3.49,822.0,210.0
"sup sayur (rendah sodium, air)",Meal,100 g sayuran; 200 ml air,Rebus sayur tanpa garam hingga matang,55.69,2.02,0.76,0.0,12.14,0.5,4.05,132.0,420.0
sup sayur makaroni,Meal,50 g makaroni; 50 g sayur,Rebus makaroni dan sayur hingga matang,130.02,5.0,1.0,0.0,27.0,2.0,3.0,359.0,110.0
sup sayur vegetarian (air),Meal,100 g sayuran; 200 ml air,Rebus sayuran hingga matang,72.42,2.12,1.93,0.0,11.98,0.7,3.83,827.0,210.0
sup sehat,Meal,50gramkaldu jamur; 20 telur puyuh; 100grambuncis; 50grambrokoli; 100gramwortel; 5 siung bawang putih; 5gramdaun bawang; 30gramjamur putih (ditumis); 3 sosis ayam; 1 g lada putih bubuk,"Potong2 semua bahan sesuai selera, | Rebus telur puyuh dan kupas, | Rebus 750mL air, | Geprek bawang putih dan masukkan k air yang telah mendidih, | Masukkan wortel, buncis, brokoli ke dalam air, | Biarkan 1/2 lunak dan masukkan sosis, jamur, telur puyuh, | Bumbui dengan kaldu jamur dan lada putih, Koreksi rasa (bisa d tambahkan gula, garam, dll sesuai keinginan, Kalori perlu d tambahkn untuk modifikasi), | Tambahkan irisan bawang daun (saya pakai yang putih) dan siap d hidangkan,",55.95,4.53,2.92,159.0,3.0,0.8,0.81,163.0,132.0
sup sosis dengan sayuran,Meal,1 besar telur; 100grambuncis; 100gramwortel; 65 g sosis sapi & ayam,"Rebus air secukupnya lalu masukkan irisan sayuran, | Masukkan irisan sosis dan telur kocok, | Bumbui sesuai keinginan dan masak selama 5 menit,",96.6,7.18,4.28,80.0,7.96,2.34,2.39,281.13,224.91
sup tahu,Meal,50 g tahu; 50 g sayur; 200ml air; bawang putih; sejumput garam,Rebus tahu dan sayur hingga matang,62.62,5.02,3.0,0.0,4.09,0.5,1.24,296.0,196.0
sup tahu brokoli,Meal,1 besar telur; 130grambrokoli; 1 siung bawang putih; 1/2 sdt gula pasir; 5gramgaram laut; 175gramtahu; 3 g lada putih bubuk; 5 ml minyak goreng,"Cuci bersih brokoli dan pot dg tahu, | Tumis bawang putih dg minyak lalu masukkan air, | Masukkan brokoli rebus masukkan bumbu lalu masuk lg tahu, | Terakhir kocok telur dan tuang sdkit ke dlm panci rebusan, | Aduk rata, siap dimakan,",158.49,12.05,9.32,106.0,8.89,2.0,2.74,1034.0,348.0
sup tahu wortel,Meal,2 sdm cabai merah atau rawit; sejumput garam; 50gramwortel; 30gramkembang kol; 2 siung bawang putih; 150gramtahu,"Potong kembang kol, wortel dan tahu sesuai kreasi, | Potong bawang putih dan cabai, | Masak menggunakan api sedang selama 10 menit,",189.06,14.65,9.43,0.0,17.51,5.7,4.79,2387.0,665.0
sup telur,Meal,"1 besar telur; 1 mangkok, segar sawi dimasak (dari segar); 25gramkaldu jamur; sejumput garam; 25 g sosis ayam; 3 g lada putih bubuk","Kocok telur dan campurkan garam, | Didihkan air dan jika air sudah mendidih masukkan telur kocok, | Kemudian masukkan sosis dan sawi bersama kaldu dan merica,",186.9,12.24,10.95,212.0,10.99,3.6,1.01,3254.0,223.0
sup telur jagung,Meal,1irisan tipisayam; 1 besar telur rebus; 100gramwortel dimasak; 100grambawang bombay dimasak; sejumput garam; 1 mangkok jagung manis kuning; 1 mangkok daun bawang; 1 sdt bawang putih cincang; 600 ml air mineral,"Tumis bawang putih & bombay, | Jika sudah harum masukan kurleb air, | Masukan ayam, wortel, jagung , diamkan kurleb 20menit, | Lalu kocok telur lalu masukan, setelah itu masukan jg daun bawang, | Tambahkan garam dan merica setelah itu dicicip, | Sudah biss dihidangkan,",216.54,8.48,7.41,108.0,33.0,5.3,8.13,1561.0,530.0
sup telur pedas,Meal,2 besar telur rebus; 1gramkaldu jamur; 3 sdm cabai merah atau rawit; sejumput garam; 100grambrokoli; 1 siung bawang putih; 2gelasair; 2 kecil bawang merah; 5 sdm minyak goreng; 100gramsawi hijau,"Haluskan cabe dan bawang merah, bawang putih lalu tumis dengan minyak goreng, | Lalu masukkan air, tunggu mendidih dan masukkan telur agar matang, serta garam dan kaldu jamur, | Saat telur sudah matang, masukkan sayuran dan tunggu hingga matang sesuai selera,",191.21,5.06,16.01,105.5,8.52,2.5,2.92,683.0,307.0
sup tofu telur,Meal,1 sedang telur; 8gramkaldu jamur; 8gramcabai merah atau rawit; sejumput garam; 1 sdm saus tiram; 2 siung bawang putih; 3 kecil bawang merah; 2 sdm minyak goreng; 180 g egg tofu,"Potong tahu sesuai selera, lalu cincang bawang putih dan bawang merah, | Panaskan minyak goreng dengan teflon, masukan bawang putih masak hingga tercium wanginya, | Lalu masukan bawang merah sambil diaduk agar tidak gosong, | Tambahkan air gelas, | Masukan cabai, garam, kaldu jamur dan saus tiram, | Lalu masukan telur, orak arik terus, | Kemudian masukan tofu, diamkan hingga mendidih atau sudah terlihat matang,",503.59,18.12,38.59,186.0,31.92,5.3,10.26,1250.0,558.0
sup tomat,Meal,100gramtomat; 1 telur; 1 siung bawang putih; 1gelasair; 200gramtahu;,"Potong-potong tomat dan bawang putih lalu blender dengan air sampai halus, | Masak sampai mendidih lalu masukkan tahu yang sudah dipotong dadu, | Setelah kuah berkurang masukkan putih telur, | Sajikan",45.0,1.5,1.0,0.0,8.0,1.0,5.0,341.0,300.0
sup tomat (air),Meal,50 g tomat; 200 ml air,Rebus tomat hingga matang,75.53,2.03,0.71,0.0,16.84,1.5,10.17,693.0,288.0
"sup tomat (kalengan, terkondensasi)",Meal,tidak tersedia / processed food / processed food,"Tak tersedia, siap saji",150.57,4.04,1.41,0.0,33.66,3.0,20.36,1383.0,575.0
sup tomat dan kol,Meal,2 ons bawang bombay; 2 mangkok kembang kol; 1sedangpaprika; 3utuh sedangtomat,"Potong semua bahan, | Rebus air sampai mendidih, | Masukan dan tunggu 5 - 10 menit atau sampai masak,",48.28,2.27,0.85,0.0,9.66,3.1,4.89,60.0,445.0
super bihun goreng,Meal,tidak tersedia / processed food / processed food,"Tak tersedia, biasanya digoreng dan siap saji",239.96,5.0,6.0,0.0,43.0,3.0,5.0,780.0,0.0
super bubur dengan kuah soto,Meal,tidak tersedia / processed food / processed food,"Tak tersedia, bubur siap saji dengan kuah soto",190.01,4.0,4.0,0.0,35.0,0.0,1.0,700.0,0.0
supermi extra rasa soto daging,Meal,tidak tersedia / processed food / processed food,"Tak tersedia, direbus sesuai petunjuk supermi",440.01,9.0,15.0,0.0,65.0,3.0,5.0,1470.0,0.0
sushi dengan sayuran,Meal,50 g nasi; 50 g sayur,"Gulung nasi dan sayur, sajikan segar",37.76,0.8,0.07,0.0,8.24,0.3,1.7,62.0,26.0
sushi dengan sayuran dan seafood,Meal,50 g nasi; 30 g sayur; 20 g seafood,"Gulung nasi, sayur, dan seafood, sajikan",36.09,1.4,0.11,2.0,7.15,0.3,1.47,56.0,34.0
sushi dengan sayuran yang digulung dengan rumput laut,Meal,50 g nasi; 30 g sayur; 5 g nori,Gulung nasi dan sayur dengan nori,30.59,0.57,0.06,0.0,6.71,0.1,1.16,25.0,16.0
sushi salmon,Meal,87gram ikan salmon panggang; 5 ml kecap; 2 g nori; 180 g wijen panggang mayones; 40 g nasi porang,"Suwir salmon yang sudah matang menggunakan garpu, | Masukkan nasi ke dalam mangkuk, | Tambahkan semua bahan dan hiasi dengan nori,",792.16,22.58,67.38,54.0,7.56,0.4,0.83,1568.0,344.0
